Collection,Set Name,Card Name,Value,Release Date
1st Edition,Base Set,Alakazam,799.99,1999-01-09
1st Edition,Base Set,Chansey,419.99,1999-01-09
1st Edition,Base Set,Charizard,7999.99,1999-01-09
1st Edition,Base Set,Clefairy,439.99,1999-01-09
1st Edition,Base Set,Machamp,59.99,1999-01-09
1st Edition,Base Set,Magneton,339.99,1999-01-09
1st Edition,Base Set,Mewtwo,759.99,1999-01-09
1st Edition,Base Set,Ninetales,519.99,1999-01-09
1st Edition,Base Set,Raichu,519.99,1999-01-09
1st Edition,Base Set,Venusaur,1359.99,1999-01-09
1st Edition,Base Set,Zapdos,579.99,1999-01-09
1st Edition,Base Set,Pidgeotto,87.98,1999-01-09
1st Edition,Base Set,Charmeleon,79.99,1999-01-09
1st Edition,Base Set,Dewgong,15.99,1999-01-09
1st Edition,Base Set,Haunter,63.99,1999-01-09
1st Edition,Base Set,Ivysaur,67.35,1999-01-09
1st Edition,Base Set,Kadabra,67.99,1999-01-09
1st Edition,Base Set,Machoke,41.59,1999-01-09
1st Edition,Base Set,Magikarp,47.19,1999-01-09
1st Edition,Base Set,Magmar,21.59,1999-01-09
1st Edition,Base Set,Porygon,17.19,1999-01-09
1st Edition,Base Set,Seel,19.19,1999-01-09
1st Edition,Base Set,Wartortle,107.97,1999-01-09
1st Edition,Base Set,Abra,23.35,1999-01-09
1st Edition,Base Set,Bulbasaur,151.99,1999-01-09
1st Edition,Base Set,Charmander,79.99,1999-01-09
1st Edition,Base Set,Diglett,15.96,1999-01-09
1st Edition,Base Set,Doduo,17.59,1999-01-09
1st Edition,Base Set,Drowzee,15.98,1999-01-09
1st Edition,Base Set,Gastly,38.39,1999-01-09
1st Edition,Base Set,Koffing,19.99,1999-01-09
1st Edition,Base Set,Machop,12.79,1999-01-09
1st Edition,Base Set,Magnemite,15.99,1999-01-09
1st Edition,Base Set,Onix,15.99,1999-01-09
1st Edition,Base Set,Pidgey,21.59,1999-01-09
1st Edition,Base Set,Pikachu,143.99,1999-01-09
1st Edition,Base Set,Ponyta,18.39,1999-01-09
1st Edition,Base Set,Sandshrew,19.96,1999-01-09
1st Edition,Base Set,Squirtle,87.99,1999-01-09
1st Edition,Base Set,Starmie,41.59,1999-01-09
1st Edition,Base Set,Staryu,11.67,1999-01-09
1st Edition,Base Set,Vulpix,26.39,1999-01-09
1st Edition,Base Set,Energy Retrieval,15.96,1999-01-09
1st Edition,Base Set,Super Potion,13.56,1999-01-09
1st Edition,Base Set,Potion,15.19,1999-01-09
1st Edition,Base Set,Switch,14.55,1999-01-09
1st Edition,Base Set,Alakazam,184.47,1999-01-09
Shadowless,Base Set,Blastoise,419.99,1999-01-09
Shadowless,Base Set,Chansey,119.99,1999-01-09
Shadowless,Base Set,Charizard,1199.99,1999-01-09
Shadowless,Base Set,Clefairy,61.67,1999-01-09
Shadowless,Base Set,Magneton,35.96,1999-01-09
Shadowless,Base Set,Mewtwo,147.99,1999-01-09
Shadowless,Base Set,Ninetales,62.47,1999-01-09
Shadowless,Base Set,Raichu,119.99,1999-01-09
Shadowless,Base Set,Venusaur,259.99,1999-01-09
Shadowless,Base Set,Zapdos,103.99,1999-01-09
Shadowless,Base Set,Pidgeotto,10.79,1999-01-09
Shadowless,Base Set,Charmeleon,8.23,1999-01-09
Shadowless,Base Set,Dewgong,3.99,1999-01-09
Shadowless,Base Set,Haunter,4.39,1999-01-09
Shadowless,Base Set,Ivysaur,10.63,1999-01-09
